Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
127;Gabriel Deck;PF;26;OKC;7;0;8;1.1;2;0.571;0.3;0.6;0.5;0.9;1.4;0.6;0.643;0;0;0;0.1;0.7;0.9;0.7;0.1;0;0.3;0.3;2.6
128;Dewayne Dedmon;C;32;MIA;39;15;17;2.6;4.4;0.595;0.3;0.5;0.571;2.3;3.9;0.599;0.63;1.1;1.4;0.764;1.9;4.4;6.3;0.8;0.4;0.5;1;2.2;6.7
129;Sam Dekker;PF;27;TOR;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;Javin DeLaurier;C;23;MIL;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0
131;DeMar DeRozan;PF;32;CHI;41;41;34.8;9.3;19.1;0.489;0.6;1.8;0.333;8.7;17.3;0.506;0.505;6.7;7.8;0.856;0.8;4.2;5;4.8;0.8;0.4;2.2;2.2;26
132;Mamadi Diakite;PF;25;OKC;5;0;11.8;1.6;2.8;0.571;0;0;0;1.6;2.8;0.571;0.571;0;0;0;0.8;1.8;2.6;0;0.2;0.2;0.6;2.6;3.2
133;Cheick Diallo;C;25;DET;3;0;10.3;1;2.7;0.375;0;0;0;1;2.7;0.375;0.375;1.7;2;0.833;1.3;2.7;4;0;0.3;0;0.3;2;3.7
134;Hamidou Diallo;SG;23;DET;38;21;22.6;4.5;8.8;0.512;0.4;1.6;0.254;4.1;7.2;0.567;0.534;1.4;2.2;0.627;1;3.6;4.6;1.3;1.3;0.4;1.1;2.5;10.8
135;Gorgui Dieng;C;32;ATL;32;3;9.7;1.2;2.6;0.464;0.6;1.4;0.413;0.6;1.2;0.526;0.577;0.5;0.7;0.739;0.9;2.3;3.2;0.9;0.3;0.4;0.5;1.4;3.6
136;Spencer Dinwiddie;PG;28;WAS;37;37;30.6;4.6;11.5;0.401;1.8;5.3;0.332;2.8;6.2;0.461;0.478;2.8;3.4;0.811;0.7;3.8;4.5;5.8;0.6;0.1;1.6;2.4;13.7
137;Donte DiVincenzo;SG;25;MIL;9;0;18.3;1.3;6.3;0.211;1.1;4.4;0.25;0.2;1.9;0.118;0.298;1.6;1.7;0.933;1.3;3;4.3;1.4;0.6;0.3;1.4;1.7;5.3
138;Luka Don?i?;PG;22;DAL;31;31;35.1;9.1;20.9;0.434;2.3;8;0.291;6.7;12.9;0.521;0.489;4.7;6.3;0.75;0.8;8;8.8;8.7;1.2;0.5;4.6;2.4;25.2
139;Luguentz Dort;SF;22;OKC;41;41;32.2;5.5;13.9;0.398;2.4;7.5;0.324;3.1;6.4;0.485;0.485;2.8;3.3;0.852;0.6;3.4;4;1.6;0.8;0.4;1.6;2.9;16.2
140;Ayo Dosunmu;SG;22;CHI;40;6;21.7;2.9;5.3;0.54;0.8;1.9;0.44;2.1;3.5;0.594;0.617;0.6;1;0.575;0.4;2.1;2.4;1.8;0.6;0.4;1.1;1.9;7.2
141;Damyean Dotson;SG;27;NYK;2;0;10.5;1;2;0.5;0;0.5;0;1;1.5;0.667;0.5;0;0;0;0;1;1;0.5;0;0;0;0;2
142;Devon Dotson;PG;22;CHI;11;0;7.7;1;2.1;0.478;0.2;0.8;0.222;0.8;1.3;0.643;0.522;0.5;0.8;0.556;0.1;0.7;0.8;1.4;0.1;0;0.5;1;2.6
143;Sekou Doumbouya;PF;21;LAL;2;0;8;2.5;4;0.625;0.5;1;0.5;2;3;0.667;0.688;1.5;2;0.75;1;2;3;0;1.5;1;1;0.5;7
144;Jeff Dowtin;PG;24;MIL;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;PJ Dozier;SG;25;DEN;18;0;18.9;2;5.5;0.364;0.8;2.7;0.313;1.2;2.8;0.412;0.439;0.6;0.7;0.769;0.8;2.7;3.5;1.6;0.6;0.3;0.7;1.8;5.4
146;Goran Dragi?;PG;35;TOR;5;2;18;2.6;6.8;0.382;0.8;2.8;0.286;1.8;4;0.45;0.441;2;2;1;0.4;2.4;2.8;1.8;1;0.2;0.2;1.6;8
147;Andre Drummond;C;28;PHI;40;11;18.6;2.6;5;0.53;0;0;0;2.6;4.9;0.533;0.53;1;1.9;0.532;2.8;6.1;8.9;1.9;1.2;1;1.7;2.5;6.3
148;Chris Duarte;SG;24;IND;38;26;29.1;5.2;11.7;0.442;1.8;5.1;0.352;3.4;6.7;0.51;0.518;1.4;1.9;0.722;0.7;3.4;4.1;2.2;1.1;0.2;1.6;1.8;13.5
149;David Duke Jr.;PG;22;BRK;14;7;17.4;2.1;5.6;0.372;0.5;1.8;0.28;1.6;3.8;0.415;0.417;1;1.2;0.824;1.9;2.1;4.1;0.9;0.5;0.4;0.6;2;5.6
150;Kevin Durant;PF;33;BRK;36;36;36.5;10.5;20.3;0.52;1.9;5;0.372;8.7;15.3;0.568;0.566;6.3;7.1;0.894;0.6;6.9;7.4;5.8;0.8;0.9;3;1.9;29.3
151;Jaime Echenique;C;24;WAS;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;Anthony Edwards;SG;20;MIN;39;39;35.1;8.1;18.3;0.442;3.3;8.7;0.372;4.8;9.5;0.507;0.532;2.7;3.4;0.805;1.1;4.1;5.2;3.6;1.5;0.7;3.1;2.3;22.2
153;Kessler Edwards;SF;21;BRK;14;7;25.6;3.1;7.1;0.444;1.4;3.4;0.426;1.7;3.7;0.462;0.545;0.1;0.1;1;1.3;2.9;4.1;0.9;1;0.7;1.1;1.9;7.8
154;Rob Edwards;SG;25;OKC;2;0;5.5;0.5;2;0.25;0.5;2;0.25;0;0;0;0.375;0;0;0;0;1.5;1.5;0;0;0;0.5;0;1.5
155;CJ Elleby;SF;21;POR;25;0;10.6;1.3;3;0.421;0.5;1.6;0.308;0.8;1.5;0.541;0.5;0.5;0.6;0.813;0.6;1.4;2;0.7;0.5;0;0.4;1.3;3.6
156;Wayne Ellington;SG;34;LAL;30;8;20.1;2.2;5.4;0.399;1.9;5;0.383;0.3;0.5;0.571;0.574;0.1;0.2;0.8;0.2;1.4;1.6;0.7;0.5;0.1;0.5;1;6.4
157;Joel Embiid;C;27;PHI;34;34;32.9;9.1;18.4;0.498;1.3;3.4;0.391;7.8;15;0.523;0.534;8.8;10.8;0.814;2;8.7;10.6;4.2;1;1.4;3;2.6;28.4
158;James Ennis III;SF;31;DEN;3;0;4.7;0.7;2;0.333;0;0.7;0;0.7;1.3;0.5;0.333;0;0.3;0;0.3;0.3;0.7;1;0;0;0.3;0.3;1.3
159;Drew Eubanks;C;24;SAS;41;8;12.4;1.7;3.2;0.515;0;0.1;0.167;1.6;3.1;0.532;0.519;1.3;1.7;0.757;1.2;2.8;3.9;1;0.3;0.6;1;1.3;4.6
160;Tacko Fall;C;26;CLE;11;1;5.4;0.5;1.1;0.417;0;0;0;0.5;1.1;0.417;0.417;0.2;0.6;0.286;0.6;1.5;2.1;0.2;0;0.5;0.3;0.3;1.1
161;Derrick Favors;C;30;OKC;31;13;16;2.4;4.7;0.497;0.1;0.4;0.167;2.3;4.4;0.526;0.503;0.3;0.6;0.556;1.5;3.2;4.7;0.8;0.4;0.2;0.2;1.5;5.1
162;Bruno Fernando;C;23;BOS;14;0;2.7;0.3;0.4;0.667;0;0;0;0.3;0.4;0.667;0.667;0.1;0.2;0.667;0.2;0.4;0.6;0.1;0;0.1;0.4;0.4;0.7
163;Dorian Finney-Smith;PF;28;DAL;45;45;32.1;3.8;8.6;0.446;1.9;5.1;0.368;1.9;3.4;0.561;0.556;0.8;1.2;0.66;1.5;3.3;4.8;1.9;1.2;0.5;1;2.3;10.3
164;Malik Fitts;PF;24;UTA;7;0;5;0.3;1.3;0.222;0.3;0.6;0.5;0;0.7;0;0.333;0;0;0;0;1.4;1.4;0;0;0;0.3;0.4;0.9
165;Malachi Flynn;PG;23;TOR;27;1;8.6;1.1;3.2;0.349;0.4;1.6;0.273;0.7;1.6;0.429;0.419;0.1;0.3;0.571;0.2;0.8;1;0.9;0.4;0.1;0.3;0.9;2.8
166;Bryn Forbes;SG;28;DEN;1;0;19;4;13;0.308;1;3;0.333;3;10;0.3;0.346;0;0;0;1;0;1;1;0;0;0;4;9
167;Aleem Ford;SF;24;ORL;5;0;14.8;1.2;4;0.3;0.4;3;0.133;0.8;1;0.8;0.35;0;0;0;0.4;2.6;3;0.4;0.2;0;0.8;1.4;2.8
168;Trent Forrest;PG;23;UTA;35;2;9.1;0.7;1.3;0.511;0;0.1;0.25;0.6;1.2;0.537;0.522;0.4;0.5;0.737;0.3;1.1;1.4;1.1;0.1;0.1;0.7;0.5;1.7
169;Evan Fournier;SG;29;NYK;44;44;29;5;11.8;0.419;2.7;6.9;0.39;2.3;4.9;0.46;0.534;1.1;1.5;0.734;0.5;2.4;2.8;1.8;0.9;0.3;1.3;1.9;13.7
170;De'Aaron Fox;PG;24;SAC;43;43;34.1;7.9;17.2;0.458;0.9;3.7;0.248;7;13.5;0.515;0.484;4.4;5.9;0.744;0.5;3.3;3.8;5.2;1.2;0.4;2.8;2.8;21
171;Tim Frazier;PG;31;ORL;10;3;20;1.3;4.3;0.302;0.6;1.7;0.353;0.7;2.6;0.269;0.372;0.5;0.9;0.556;0.5;1.4;1.9;3.3;0.3;0.1;1.3;2.4;3.7
172;Enes Freedom;C;29;BOS;30;1;12.6;1.6;2.9;0.545;0;0.1;0.25;1.6;2.8;0.56;0.551;0.7;0.9;0.846;1.9;2.8;4.7;0.2;0.2;0.5;0.6;1.3;4
173;Wenyen Gabriel;PF;24;LAC;6;0;7.7;0.8;2.2;0.385;0.3;0.8;0.4;0.5;1.3;0.375;0.462;0.3;0.7;0.5;0.8;1.5;2.3;0.3;0.2;0.3;0.5;1.8;2.3
174;Daniel Gafford;C;23;WAS;43;43;21.7;4;5.7;0.691;0;0;0;4;5.7;0.691;0.691;1.4;1.9;0.738;2.3;4;6.3;1;0.4;1.7;1;2.4;9.3
175;Danilo Gallinari;PF;33;ATL;35;1;23.1;3.3;7.9;0.422;1.7;4.1;0.403;1.7;3.7;0.443;0.527;2.2;2.3;0.927;0.5;3.7;4.2;1.4;0.4;0.2;0.7;1.4;10.5
176;Langston Galloway;SG;30;MIL;3;0;16.3;0.3;4.3;0.077;0;2.7;0;0.3;1.7;0.2;0.077;0;0;0;0.7;2.7;3.3;2.3;0.3;0;0.3;0.7;0.7
177;Darius Garland;PG;22;CLE;40;40;34.7;7.5;15.9;0.469;2.5;6.9;0.366;5;9;0.548;0.549;2.3;2.5;0.91;0.6;2.8;3.4;8;1.3;0.1;3.6;1.7;19.8
178;Marcus Garrett;SG;23;MIA;12;0;10.7;0.4;1.8;0.238;0.1;0.3;0.25;0.3;1.4;0.235;0.262;0.2;0.4;0.4;0.8;1.2;1.9;0.6;0.4;0.3;0.2;1.3;1.1
179;Usman Garuba;PF;19;HOU;15;0;7;0.5;1.6;0.333;0.1;0.9;0.154;0.4;0.7;0.545;0.375;0.1;0.1;0.5;0.6;1.7;2.3;0.5;0.5;0.4;0.2;0.6;1.3
180;Luka Garza;C;23;DET;27;5;12.1;1.9;4.3;0.436;0.5;1.5;0.325;1.4;2.9;0.494;0.491;1;1.6;0.643;1.7;1.3;3.1;0.6;0.3;0.1;0.6;1.7;5.3
181;Rudy Gay;PF;35;UTA;28;0;19.9;3.1;7.4;0.413;1.5;4.3;0.353;1.6;3.2;0.494;0.514;1.3;1.6;0.822;1;3.7;4.6;1.1;0.6;0.3;0.8;1.9;9
182;Paul George;SF;31;LAC;26;26;35.5;9;21.4;0.421;2.7;8.3;0.323;6.3;13;0.484;0.484;4;4.5;0.88;0.4;6.7;7.1;5.5;2;0.4;4.2;2.5;24.7
183;Taj Gibson;C;36;NYK;29;3;19.1;1.4;2.9;0.494;0.1;0.5;0.267;1.3;2.4;0.543;0.518;0.7;0.9;0.704;1.7;2.9;4.6;0.7;0.4;0.9;0.7;2.7;3.7
184;Josh Giddey;SG;19;OKC;40;40;30.7;4.9;11.9;0.409;1.1;4;0.278;3.8;7.9;0.475;0.456;0.8;1.2;0.673;1.7;5.8;7.5;6.3;1;0.5;2.9;1.6;11.6
185;Shai Gilgeous-Alexander;PG;23;OKC;40;40;34.8;7.7;18.5;0.419;1.6;5.7;0.274;6.2;12.8;0.482;0.461;5.7;6.8;0.831;0.7;4;4.7;5.4;1;0.8;2.4;2.4;22.7
186;Anthony Gill;PF;29;WAS;17;0;6.5;1.1;1.6;0.667;0.3;0.4;0.714;0.8;1.2;0.65;0.759;0.6;0.7;0.833;0.5;1;1.5;0.5;0.1;0.1;0.3;1.1;3
187;Freddie Gillespie;PF;24;ORL;9;2;13.2;1;2.4;0.409;0;0.1;0;1;2.3;0.429;0.409;0.3;0.8;0.429;1.4;2.6;4;0.6;0.3;1;0.6;2;2.3
188;Rudy Gobert;C;29;UTA;41;41;32.4;5.7;7.9;0.714;0;0;0;5.7;7.9;0.716;0.714;4.7;6.9;0.688;3.6;11.4;15;1.1;0.8;2.3;1.9;2.7;16
189;Brandon Goodwin;PG;26;CLE;8;0;15.9;2.4;5.8;0.413;0.5;1.6;0.308;1.9;4.1;0.455;0.457;0.4;1.3;0.3;0.5;1.8;2.3;3.5;1;0;0.8;1.4;5.6
190;Jordan Goodwin;SG;23;WAS;2;0;3;0;1.5;0;0;0.5;0;0;1;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0.5;0
191;Aaron Gordon;PF;26;DEN;41;41;32;5.5;10.6;0.524;1.1;3.2;0.341;4.4;7.3;0.605;0.576;2.3;3.1;0.74;1.7;3.9;5.6;2.5;0.7;0.6;1.7;1.9;14.5
192;Eric Gordon;SG;33;HOU;40;29;29.5;5.2;10.3;0.506;2.4;5.2;0.452;2.9;5.1;0.561;0.62;2;2.7;0.738;0.2;1.7;1.9;3.2;0.6;0.4;2.1;1.1;14.8
193;Devonte' Graham;PG;26;NOP;42;42;31.3;4.6;12.5;0.366;3;8.5;0.357;1.5;4;0.385;0.487;1.6;2;0.819;0.5;2.1;2.6;4.5;1;0.2;1.6;1.4;13.8
194;Jerami Grant;PF;27;DET;24;24;33.2;6.6;15.9;0.414;1.8;5.3;0.331;4.8;10.6;0.455;0.469;5.2;6.1;0.849;1;3.9;4.8;2.6;1.1;1.1;2.1;2.3;20.1
195;Hassani Gravett;PG;25;ORL;8;3;21.4;2.3;4.8;0.474;1.4;3.3;0.423;0.9;1.5;0.583;0.618;0.4;0.5;0.75;0.1;2.5;2.6;2.5;0.6;0.1;1.1;1.6;6.3
196;Danny Green;SF;34;PHI;29;21;23.7;2.3;5.6;0.407;1.8;4.8;0.381;0.4;0.8;0.565;0.571;0.3;0.3;0.9;0.6;2;2.6;1.1;1.3;0.9;0.9;1.8;6.7
197;Draymond Green;PF;31;GSW;34;34;29.9;3.2;5.9;0.537;0.4;1.2;0.286;2.8;4.7;0.604;0.567;1.2;2;0.597;1.1;6.4;7.6;7.4;1.4;1.2;3.1;2.8;7.9
198;Jalen Green;SG;19;HOU;32;32;29.8;4.8;12.7;0.381;1.8;6.2;0.298;3;6.5;0.459;0.453;2.9;3.5;0.829;0.4;2.8;3.2;2.2;0.5;0.2;2.4;1.4;14.4
199;JaMychal Green;PF;31;DEN;35;7;14.9;2.1;4.8;0.437;0.5;2.2;0.25;1.5;2.6;0.593;0.494;1;1.2;0.857;0.9;2.8;3.7;0.8;0.7;0.5;0.9;2.2;5.7
200;Javonte Green;SF;28;CHI;29;18;22.2;2.1;4.3;0.496;0.4;1.1;0.364;1.7;3.2;0.543;0.544;1.1;1.4;0.8;1.5;2.7;4.2;1;0.8;0.4;0.6;2.1;5.8
201;Jeff Green;C;35;DEN;41;29;25.2;4;7.7;0.516;0.8;2.4;0.343;3.1;5.2;0.595;0.57;2;2.5;0.804;0.5;2.7;3.2;1.3;0.3;0.5;1;2.3;10.7
202;Josh Green;SG;21;DAL;31;0;12.1;1.6;3;0.548;0.2;0.6;0.35;1.4;2.4;0.603;0.586;0.5;0.7;0.667;0.6;1.3;1.9;1;0.5;0.2;0.4;1.5;4
203;Blake Griffin;PF;32;BRK;35;20;18.6;2.2;5.8;0.374;0.5;2.7;0.202;1.6;3.1;0.523;0.421;1.1;1.6;0.727;1.1;3.3;4.5;2.1;0.5;0.3;0.5;2;6
204;Quentin Grimes;SG;21;NYK;28;2;14.6;1.8;4.4;0.418;1.4;3.5;0.394;0.4;0.8;0.522;0.578;0.2;0.3;0.667;0.3;1.2;1.5;1;0.6;0.1;0.6;1.4;5.3
205;Kyle Guy;SG;24;MIA;8;0;16.6;2.8;5.9;0.468;1.4;3.5;0.393;1.4;2.4;0.579;0.585;0.5;0.6;0.8;0.1;1.1;1.3;1.9;0.5;0.1;0.8;1.1;7.4
206;Rui Hachimura;PF;23;WAS;7;0;15.6;2.9;7;0.408;0.7;2.1;0.333;2.1;4.9;0.441;0.459;1.7;2.3;0.75;0.3;3.4;3.7;0.4;0.1;0.1;0.6;0.6;8.1
207;Tyrese Haliburton;SG;21;SAC;43;43;34;5.2;11;0.467;2;4.8;0.429;3.1;6.3;0.496;0.56;1.4;1.7;0.819;0.7;3.1;3.9;7.1;1.7;0.7;2.2;1.4;13.7
208;Tyler Hall;SG;24;NYK;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;R.J. Hampton;SG;20;ORL;42;1;19.4;2.5;6.7;0.382;0.9;2.5;0.364;1.6;4.1;0.393;0.452;1.1;1.9;0.608;0.3;2.6;2.9;2.4;0.7;0.2;1.3;1.5;7.2
210;Tim Hardaway Jr.;SG;29;DAL;40;20;30.2;5.1;12.9;0.395;2.5;7.4;0.334;2.6;5.5;0.475;0.49;1.8;2.4;0.75;0.3;3.5;3.8;2.3;1;0.2;0.8;1.8;14.5
211;James Harden;PG;32;BRK;40;40;37;6.7;16;0.421;2.4;7.1;0.339;4.3;8.9;0.486;0.496;7.1;8.2;0.866;1;7.1;8.1;10;1.3;0.7;4.8;2.5;23
212;Maurice Harkless;SF;28;SAC;30;14;18.4;1.6;3.5;0.443;0.5;2;0.267;1;1.5;0.674;0.519;0.3;0.5;0.667;0.2;2.1;2.3;0.5;0.4;0.6;0.6;1.5;4
213;Jared Harper;PG;24;NOP;2;0;5;1.5;3.5;0.429;0.5;1;0.5;1;2.5;0.4;0.5;0;0;0;0.5;0;0.5;1.5;0;0.5;0.5;1;3.5
214;Montrezl Harrell;C;28;WAS;39;3;25;5.5;8.4;0.653;0.1;0.4;0.286;5.4;8.1;0.67;0.66;3.3;4.5;0.734;2.2;4.9;7.2;2.2;0.5;0.7;1.1;2;14.5
215;Gary Harris;SG;27;ORL;40;30;29.7;4.3;9.7;0.441;1.7;4.9;0.356;2.6;4.9;0.526;0.53;1.3;1.6;0.839;0.7;1.6;2.3;1.8;0.9;0.2;1.2;2;11.6
216;Joe Harris;SF;30;BRK;14;14;30.2;4;8.9;0.452;2.9;6.3;0.466;1.1;2.6;0.417;0.617;0.4;0.4;0.833;0.4;3.6;4;1;0.5;0.1;1.1;2.2;11.3
217;Tobias Harris;PF;29;PHI;36;36;34.9;6.9;15.1;0.461;1.2;3.7;0.316;5.8;11.4;0.509;0.5;3.2;3.8;0.844;1.1;6.2;7.3;3.8;0.6;0.6;1.6;2.1;18.2
218;Shaquille Harrison;SG;28;BRK;2;0;11.5;1;3;0.333;0;1;0;1;2;0.5;0.333;0;0;0;0.5;1.5;2;1.5;0.5;0.5;1;1.5;2
219;Josh Hart;PF;26;NOP;36;35;33.2;4.8;9.3;0.515;1;3;0.339;3.8;6.3;0.599;0.57;2.6;3.6;0.734;1.4;6.1;7.5;4.3;1;0.3;1.9;2.9;13.3
220;Isaiah Hartenstein;C;23;LAC;33;0;15.9;3.2;4.8;0.663;0.1;0.1;0.667;3.2;4.8;0.662;0.669;1.1;1.7;0.661;1.7;2.6;4.3;1.8;0.8;1.2;0.9;2.5;7.6
221;Udonis Haslem;C;41;MIA;8;0;6.5;1.3;2.5;0.5;0.1;0.3;0.5;1.1;2.3;0.5;0.525;0.4;0.4;1;0.5;1.6;2.1;0.3;0.1;0.1;0.3;1.4;3
222;Sam Hauser;SF;24;BOS;7;0;4.4;0.4;1.6;0.273;0.4;1.6;0.273;0;0;0;0.409;0;0;0;0.1;0.4;0.6;0.1;0.1;0.1;0;0.1;1.3
223;Jaxson Hayes;C;21;NOP;33;0;14;2.5;4.2;0.583;0.2;0.5;0.333;2.3;3.8;0.613;0.601;1.8;2.4;0.744;1.3;2.1;3.4;0.4;0.3;0.7;0.6;1.9;6.8
224;Killian Hayes;PG;20;DET;33;33;25.5;2.2;6.5;0.343;0.8;2.8;0.297;1.4;3.8;0.376;0.405;0.8;1;0.848;0.5;2.5;3;3.6;1.2;0.4;1.5;2.5;6.2
225;Gordon Hayward;SF;31;CHO;45;45;33.1;6.2;13.1;0.471;1.8;4.6;0.397;4.3;8.4;0.512;0.542;2.8;3.3;0.846;0.8;3.9;4.7;3.7;1;0.5;1.7;1.8;17
226;Aaron Henry;SF;22;PHI;6;0;2.8;0.2;0.8;0.2;0;0.2;0;0.2;0.7;0.25;0.2;0;0;0;0;0.2;0.2;0;0;0.3;0.3;0.3;0.3
227;Juancho Hernangómez;PF;26;SAS;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
228;Willy Hernangómez;C;27;NOP;22;3;15.5;3.2;5.7;0.56;0.1;0.1;0.667;3.1;5.5;0.557;0.568;1.6;2.3;0.706;2.5;4.5;7;1.3;0.4;0.2;0.9;1.8;8.1
229;Tyler Herro;SG;22;MIA;38;10;32.9;7.6;17.8;0.43;2.6;6.8;0.388;5;11;0.456;0.504;2.8;3.2;0.876;0.7;4.2;4.9;4;0.6;0.2;2.8;1.4;20.7
230;Buddy Hield;SG;29;SAC;47;6;29.1;5.1;12.9;0.395;3.5;9.2;0.383;1.6;3.7;0.425;0.531;1.7;1.9;0.867;0.7;3.2;3.9;2;0.9;0.3;1.6;2;15.3
231;Haywood Highsmith;SF;25;MIA;4;0;10.5;1;2;0.5;1;1.8;0.571;0;0.3;0;0.75;0;0;0;0.5;0.8;1.3;0;0;0.3;0;0.8;3
232;George Hill;SG;35;MIL;38;15;25.7;2.5;5.8;0.436;0.9;2.8;0.308;1.7;3;0.558;0.511;1.1;1.1;0.952;0.8;2.4;3.2;2.5;0.7;0.1;0.9;1.4;7
233;Malcolm Hill;SF;26;CHI;4;0;12.8;1.3;3;0.417;0.8;2;0.375;0.5;1;0.5;0.542;1;1.5;0.667;1;1.3;2.3;0.5;0;0;0.3;2;4.3
234;Solomon Hill;PF;30;ATL;13;1;10.7;0.2;1.5;0.15;0.2;1;0.154;0.1;0.5;0.143;0.2;0;0;0;0.5;1.3;1.8;0.9;0.3;0.2;0.1;1.2;0.6
235;Nate Hinton;SG;22;IND;2;0;1;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0
236;Jaylen Hoard;SF;22;OKC;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0
237;Aaron Holiday;PG;25;WAS;35;10;16.2;2.5;5.2;0.475;0.6;1.6;0.382;1.9;3.7;0.516;0.533;0.6;0.7;0.808;0.2;1.5;1.7;1.9;0.5;0.2;0.9;1.5;6.2
238;Jrue Holiday;PG;31;MIL;35;32;32.6;7.2;14.6;0.493;1.8;4.7;0.38;5.4;9.9;0.546;0.554;1.8;2.4;0.729;0.9;3.7;4.6;6.5;1.5;0.6;2.7;1.8;17.9
239;Justin Holiday;SF;32;IND;40;31;28.8;3.8;9.4;0.406;2.7;7.1;0.372;1.2;2.3;0.511;0.546;0.7;0.8;0.818;0.3;2.5;2.8;1.7;0.7;0.4;1;2.1;11
240;Richaun Holmes;C;28;SAC;29;29;25.8;5.2;7.4;0.698;0.1;0.1;0.5;5.1;7.3;0.701;0.702;1.8;2.3;0.788;2.3;5.9;8.2;1.2;0.3;1.1;1.4;3.1;12.2
241;Rodney Hood;SF;29;MIL;34;0;15.8;1.2;3.5;0.356;0.7;2.2;0.32;0.5;1.3;0.419;0.458;0.4;0.4;0.929;0.3;1.5;1.9;0.8;0.3;0.1;0.2;0.8;3.6
242;Scotty Hopson;SG;32;OKC;1;0;18;2;4;0.5;0;1;0;2;3;0.667;0.5;0;0;0;0;1;1;1;0;0;2;1;4
243;Al Horford;C;35;BOS;38;38;29;4;9;0.449;1.2;4.2;0.285;2.8;4.8;0.59;0.515;1.5;1.7;0.862;1.5;5.8;7.3;3.6;0.6;1.4;1.1;2.2;10.7
244;Talen Horton-Tucker;SG;21;LAL;30;15;27.1;4.1;9.8;0.418;0.8;3.2;0.247;3.3;6.6;0.503;0.459;1.6;2.1;0.778;0.6;2.9;3.6;2.7;0.9;0.5;1.5;2.7;10.6
245;Danuel House Jr.;SF;28;UTA;4;0;16.3;1.8;4;0.438;1;2.8;0.364;0.8;1.3;0.6;0.563;0.5;0.5;1;0.5;1.5;2;1.5;0.3;0.3;0.3;1.5;5
246;Dwight Howard;C;36;LAL;36;10;15;1.9;3.1;0.622;0.2;0.3;0.667;1.8;2.8;0.618;0.649;1.3;2.1;0.635;1.9;3.6;5.5;0.6;0.8;0.6;0.9;2;5.3
247;Markus Howard;SG;22;DEN;17;0;6.9;1.4;3.8;0.359;1.1;2.8;0.396;0.2;0.9;0.25;0.508;0.4;0.5;0.875;0;0.3;0.3;0.3;0.4;0;0.4;0.6;4.2
248;Kevin Huerter;SG;23;ATL;38;24;29.1;4.6;9.9;0.459;1.8;5;0.363;2.7;4.9;0.556;0.55;0.6;0.8;0.8;0.4;3.1;3.5;2.9;0.5;0.3;1.3;2;11.6
249;Jay Huff;C;23;LAL;4;0;5;0;0.8;0;0;0.5;0;0;0.3;0;0;0;0;0;0.3;0.8;1;0.3;0.3;0.3;0.3;0.3;0
250;Elijah Hughes;SF;23;UTA;10;1;6.2;1;1.9;0.526;0.7;1.4;0.5;0.3;0.5;0.6;0.711;0.3;0.3;1;0;0.9;0.9;0.4;0.2;0;0.4;0.4;3
251;De'Andre Hunter;SF;24;ATL;17;16;29.1;4.9;10.9;0.454;1.6;4.1;0.4;3.3;6.8;0.487;0.53;1.2;1.8;0.677;0.4;3;3.4;1;0.6;0.5;1.4;2.6;12.8
252;Chandler Hutchison;SF;25;PHO;6;0;3.7;0.2;0.3;0.5;0;0;0;0.2;0.3;0.5;0.5;0.3;0.3;1;0;0.8;0.8;0.3;0;0;0.7;0.2;0.7
253;Bones Hyland;PG;21;DEN;34;0;17.6;2.9;8;0.363;1.7;5;0.339;1.2;3;0.402;0.469;1;1.1;0.892;0.2;2.3;2.5;1.7;0.5;0.3;1.1;2.1;8.5
254;Serge Ibaka;C;32;LAC;28;8;15.4;2.5;5.5;0.458;0.8;2;0.4;1.7;3.5;0.49;0.529;0.5;0.8;0.667;1.2;2.9;4.1;1.1;0.2;0.7;1.1;1.7;6.3
255;Andre Iguodala;SF;38;GSW;25;0;20.5;1.6;4;0.386;0.5;2.4;0.217;1;1.6;0.634;0.45;0.5;0.6;0.813;0.8;2.6;3.4;3.9;0.8;0.8;0.9;1;4.2
256;Joe Ingles;SF;34;UTA;41;11;25.1;2.6;6.4;0.414;1.8;5;0.357;0.8;1.3;0.63;0.556;0.3;0.4;0.778;0.3;2.7;3;3.5;0.6;0.1;1.1;1.8;7.4
